source,title,link,published,published_dt,imputed_time,compound,label,fetched_at,key
BBC News (Top stories),How Trump and Putin's past meetings went - and what to expect this time,https://www.bbc.com/news/articles/c86077zxdw2o?at_medium=RSS&at_campaign=rss,"Thu, 14 Aug 2025 22:31:59 GMT",2025-08-14 22:31:59+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,742f8159f6214c410df6039f7b0c9b30
BBC News (Top stories),'Putin is a master of persuasion' - BBC correspondents discuss summit strategy,https://www.bbc.com/news/videos/c6205ezp6nlo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 03:35:15 GMT",2025-08-15 03:35:15+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,67183a081a26c716bed0a4432df7b88f
BBC News (Top stories),In maps: The war-ravaged Ukrainian territories at the heart of the Trump-Putin summit,https://www.bbc.com/news/articles/cgkrn433lk2o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 07:30:17 GMT",2025-08-15 07:30:17+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,5e2547f78679844adabf4e0715190163
BBC News (Top stories),What do Alaskans make of the geopolitical circus arriving in their city?,https://www.bbc.com/news/articles/c7541g6d191o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 05:58:24 GMT",2025-08-15 05:58:24+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,15b06937b0eef94868f320b67d74e67f
BBC News (Top stories),Why did so many teens get into their first choice uni this year?,https://www.bbc.com/news/articles/c62n9ygdqeno?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 13:55:37 GMT",2025-08-15 13:55:37+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,eeaf0fe5da1dcaec6ed69f875811c576
BBC News (Top stories),He found a bomb under a playground - and there were 176 more,https://www.bbc.com/news/articles/c36x08jezw5o?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 04:10:06 GMT",2025-08-15 04:10:06+00:00,False,-0.4939,negative,2025-08-15 18:33:26.605639+00:00,155571b46d1571cfec3c2262294b2e87
BBC News (Top stories),"'Don't be embarrassed - tell someone', urges victim of prolific catfishing offender",https://www.bbc.com/news/articles/cly2d6erjg9o?at_medium=RSS&at_campaign=rss,"Thu, 14 Aug 2025 23:04:37 GMT",2025-08-14 23:04:37+00:00,False,-0.3591,negative,2025-08-15 18:33:26.605639+00:00,6a1c8a29e7dae04a5a2c15c0746072f5
BBC News (Top stories),Weekly quiz: Why were Italian restaurants in a rage about pasta?,https://www.bbc.com/news/articles/crkzlzxlvpjo?at_medium=RSS&at_campaign=rss,"Thu, 14 Aug 2025 17:43:36 GMT",2025-08-14 17:43:36+00:00,False,-0.5574,negative,2025-08-15 18:33:26.605639+00:00,3d4f143cbdf45c95528b9281b59c616e
The Guardian (UK),Return of the flip phone: does Apple’s foldable iPhone signal a new era in design?,https://www.theguardian.com/technology/2025/aug/15/return-of-the-flip-phone-does-apples-new-foldable-iphone-signal-a-new-era-in-design,"Fri, 15 Aug 2025 14:32:57 GMT",2025-08-15 14:32:57+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,283919a34d258d63e695b72389b0b06f
The Guardian (UK),‘Not in my hands’: diplomatic Howe has lost control of Isak’s Newcastle future,https://www.theguardian.com/football/2025/aug/15/not-in-my-hands-diplomatic-howe-has-lost-control-of-isaks-newcastle-future,"Fri, 15 Aug 2025 14:44:10 GMT",2025-08-15 14:44:10+00:00,False,-0.3182,negative,2025-08-15 18:33:26.605639+00:00,6f41f5c6767b25c9298bede40f25dae7
